brand, product_name, price, shipping 
brand, product_name, price, shipping 
Lenovo,Lenovo Laptop ThinkPad E560 (20EV002FUS) Intel Core i5 6th Gen 6200U (2.30 GHz) 16 GB Memory 500 GB HDD Intel HD Graphics 520 15.6" Windows 7 Professional 64-Bit (downgrade from Windows 10 Pro),$758.0,Free Shipping
HP,HP Laptop ProBook 650 G2 (2GX76UT#ABA) Intel Core i7 6th Gen 6600U (2.60 GHz) 8 GB Memory 256 GB SSD Intel HD Graphics 520 15.6" Windows 7 Professional 64-Bit (Downgrade From Windows 10 Pro),$829.99,$4.99 Shipping
ASUS,ASUS Laptop B9440UA-XS51 Intel Core i5 7th Gen 7200U (2.50 GHz) 8 GB LPDDR3 Memory 512 GB SSD Intel HD Graphics 620 14.0" Windows 10 Pro 64-Bit,$999.99,$6.31 Shipping
Acer,Acer Notebooks TravelMate B TMB117-M-C0DK Intel Celeron N3050 (1.60 GHz) 4 GB Memory 32 GB eMMC SSD Intel HD Graphics 11.6" Windows 10 Pro 64-Bit,$199.99,$5.99 Shipping
ASUS,ASUS Zenbook UX303UA-DH51T Ultrabook Intel Core i5 6200U (2.30 GHz) 8 GB Memory 256 GB SSD Intel HD Graphics 520 13.3" IPS Full HD 1920 x 1080 Touchscreen 1.2 MP HD Camera Windows 10 Home 64-Bit,$899.0,$6.51 Shipping
HP,HP Laptop 250 G6 (2NC71UT#ABA) Intel Core i5 7th Gen 7200U (2.50 GHz) 8 GB Memory 128 GB SSD Intel HD Graphics 620 15.6" Windows 10 Pro 64-Bit,$599.99,Free Shipping
HP,HP Chromebook 11 G5 (X9U02UT#ABA) Intel Celeron N3050 (1.60 GHz) 4 GB Memory 16 GB Flash Storage Intel HD Graphics 11.6" Chrome OS,$179.0,Free Shipping
TOSHIBA,TOSHIBA Laptop Tecra A50-01R01S Intel Core i7 7th Gen 7500U (2.70 GHz) 4 GB Memory 1 TB HDD Intel HD Graphics 620 15.6" Windows 10 Pro 64-Bit,$619.99,$8.99 Shipping
ASUS,ASUS Laptop X556UQ-NH71 Intel Core i7 7th Gen 7500U (2.70 GHz) 8 GB Memory 512 GB SSD NVIDIA GeForce 940MX 15.6" Windows 10 Home 64-Bit,$819.99,Free Shipping
Acer,Acer Laptop Aspire E5-774G-52W1 Intel Core i5 7th Gen 7200U (2.50 GHz) 8 GB DDR4 Memory 256 GB SSD NVIDIA GeForce 940MX 17.3" Windows 10 Home 64-Bit,$629.99,$2.99 Shipping
Acer,Acer Laptop Aspire E5-575G-728Q Intel Core i7 7th Gen 7500U (2.70 GHz) 8 GB DDR4 Memory 1 TB HDD 256 GB SSD NVIDIA GeForce 940MX 15.6" Windows 10 Home 64-Bit,$759.99,$2.99 Shipping
ASUS,ASUS Laptop X556UQ-NH51 Intel Core i5 7th Gen 7200U (2.50 GHz) 8 GB Memory 512 GB SSD NVIDIA GeForce 940MX 15.6" Windows 10 Home 64-Bit,$729.99,$2.99 Shipping
Lenovo,Lenovo ThinkPad E570 (20H5-P1) 15.6" 16:9 Notebook - 1366 x 768 - Intel Core i5 (7th Gen) i5-7200U Dual-core (2 Core) 2.50 GHz - 16 GB DDR4 SDRAM - 525 GB SSD - Windows 10 Pro 64-bit,$99.0,Free Shipping
Acer,Acer Laptop Aspire A515-51G-5536 Intel Core i5 7th Gen 7200U (2.50 GHz) 8 GB DDR4 Memory 1 TB HDD NVIDIA GeForce 940MX 15.6" Windows 10 Home 64-Bit,$599.99,$2.99 Shipping
Lenovo,Lenovo Laptop IdeaPad 310 (80ST001NUS) AMD A12-Series A12-9700P (2.50 GHz) 12 GB Memory 1 TB HDD AMD Radeon R5 Series 15.6" Windows 10 Home,$459.99,$11.99 Shipping
Lenovo,Lenovo Laptop IdeaPad 310 15 (80TV00W1US) Intel Core i7 7th Gen 7500U (2.70 GHz) 12 GB Memory 1 TB HDD Intel HD Graphics 620 15.6" Windows 10 Home 64-Bit,$599.99,$6.51 Shipping
HP,HP Laptop Stream 11 Pro G3 (X9V65UT#ABA) Intel Celeron N3060 (1.60 GHz) 2 GB Memory 64 GB eMMC Intel HD Graphics 400 11.6" Windows 10 Pro 64-Bit,$194.99,$4.99 Shipping
Lenovo,Lenovo IdeaPad Laptop 320-15IKB 80XL0006US Intel Core i5 7200U (2.50 GHz) 8 GB Memory 1 TB HDD 15.6" Windows 10 Home,$509.0,$2.99 Shipping
HP,HP Laptop Pavilion 15-au057cl Intel Core i5 6th Gen 6200U (2.30 GHz) 8 GB Memory 1 TB HDD Intel HD Graphics 520 15.6" Touchscreen Windows 10 Home 64-Bit,$499.99,$4.99 Shipping
ASUS,ASUS VivoBook S510 15.6" Full HD Thin and Portable Laptop| Intel Core i7-7500U 2.7 GHz Processor| NVIDIA GeForce 940MX 2 GB| 8 GB DDR4 RAM| 256 GB M.2 SSD + 1 TB 5400 RPM HDD| Windows 10 Home,$849.0,Free Shipping
ASUS,ASUS Zenbook UX303UB-DH74T Ultrabook Intel Core i7 6500U (2.50 GHz) 12 GB Memory 512 GB SSD NVIDIA GeForce 940M 2 GB 13.3" IPS Quad HD+ 3200 x 1800 Touchscreen 1.2 MP HD Camera Windows 10 Home 64-Bit,$199.0,Free Shipping
ASUS,ASUS VivoBook S510UA-DB71 15.6" Full HD Laptop| 7th Gen Intel Core i7 Processor 2.7 GHz| 8 GB DDR4 RAM| 128 GB M.2 SSD + 1 TB HDD| Windows 10| Fingerprint Reader| Thin and Light| Backlit Keyboard,$793.99,Free Shipping
ASUS,ASUS F556UA-AB54-BL 15.6" FHD| Thin and Light Laptop| Intel Core i5| 8 GB DDR4 RAM| 256 GB SSD| Windows 10 (Blue),$629.0,Free Shipping
Lenovo,Lenovo Laptop IdeaPad 510s (80UV001BUS) Intel Core i7 7th Gen 7500U (2.70 GHz) 8 GB Memory 256 GB SSD AMD Radeon R7 M460 14.0" Windows 10 Home,$779.99,$6.99 Shipping
ASUS,ASUS Laptop Zenbook UX390UA-DH51-GR Intel Core i5 7th Gen 7200U (2.50 GHz) 8 GB Memory 256 GB SSD Intel HD Graphics 620 12.5" Windows 10 Home 64-Bit,$849.0,Free Shipping
Razer,Razer Laptop Blade Stealth RZ09-01963E31-R3U1 Intel Core i7 7th Gen 7500U (2.70 GHz) 16 GB Memory 256 GB SSD Intel HD Graphics 620 13.3" Touchscreen Windows 10 Home 64-Bit,$399.99,$7.99 Shipping
HP,HP Laptop ProBook 470 G4 (Z1Z76UT#ABA) Intel Core i7 7th Gen 7500U (2.70 GHz) 16 GB Memory 256 GB SSD Intel HD Graphics 620 17.3" Windows 10 Pro 64-Bit,$979.99,$2.99 Shipping
Apple,Apple MacBook Air 13.3" Notebook - Core i5 1.8 GHz - 8 GB RAM - 128 GB SSD - MQD32LL/A (Mid 2017),$889.99,$1.99 Shipping
ASUS,ASUS VivoBook F402BA-EB94 14" FHD Thin and Light Laptop| Dual-Core AMD A9 Processor| Radeon R5 Graphics| 8 GB DDR3 RAM| 256 GB 2.5" SSD| USB Type-C| Windows 10,$499.99,$6.99 Shipping
Acer,Acer Laptop Aspire E E5-553G-F55F AMD FX-Series FX-9800P (2.7 GHz) 16 GB Memory 1 TB HDD 128 GB SSD AMD Radeon R8 M445DX 15.6" Windows 10 Home,$619.99,$2.99 Shipping
Apple,Apple Laptop MacBook Pro MLL42LL/A Intel Core i5 2.00 GHz 8 GB Memory 256 GB SSD Intel Iris Graphics 540 13.3" Mac OS X v10.12 Sierra,$459.0,Free Shipping
ASUS,ASUS Laptop P2520LA-XH51 Intel Core i5 5th Gen 5200U (2.20 GHz) 4 GB Memory 500 GB HDD Intel HD Graphics 5500 15.6" Windows 7 Professional 64-Bit with optional upgrade to Windows 10 Pro 64-Bit,$529.99,$5.99 Shipping
Acer,Acer Laptop Aspire E5-553G-1986 AMD A12-Series A12-9700P (2.50 GHz) 8 GB DDR4 Memory 128 GB SSD AMD Radeon R7 M440 15.6" Windows 10 Home,$499.99,Free Shipping
Huawei,Huawei Laptop MateBook X Signature Edition Intel Core i5 7th Gen 7200U (2.50 GHz) 8 GB LPDDR3 Memory 256 GB SSD Intel HD Graphics 620 13.0" Windows 10 Home 64-Bit (US warranty),$99.99,Free Shipping
DELL,DELL Laptop XPS 13 (9360) XPS9360-1718SLV Intel Core i5 7th Gen 7200U (2.50 GHz) 8 GB Memory 128 GB SSD Intel HD Graphics 620 13.3" Touchscreen Windows 10 Home 64-Bit,$939.99,Free Shipping
ASUS,ASUS ZenBook 3 Deluxe UX490UA 14" FHD Ultraportable Laptop Intel Core i7-7500U 16 GB RAM 512 GB SSD| Windows 10 Pro| Royal Blue,$699.0,Free Shipping
brand, product_name, price, shipping 
Lenovo,Lenovo Laptop ThinkPad E560 (20EV002FUS) Intel Core i5 6th Gen 6200U (2.30 GHz) 16 GB Memory 500 GB HDD Intel HD Graphics 520 15.6" Windows 7 Professional 64-Bit (downgrade from Windows 10 Pro),$758.0,Free Shipping
HP,HP Laptop ProBook 650 G2 (2GX76UT#ABA) Intel Core i7 6th Gen 6600U (2.60 GHz) 8 GB Memory 256 GB SSD Intel HD Graphics 520 15.6" Windows 7 Professional 64-Bit (Downgrade From Windows 10 Pro),$829.99,$4.99 Shipping
ASUS,ASUS Laptop B9440UA-XS51 Intel Core i5 7th Gen 7200U (2.50 GHz) 8 GB LPDDR3 Memory 512 GB SSD Intel HD Graphics 620 14.0" Windows 10 Pro 64-Bit,$999.99,$6.31 Shipping
Acer,Acer Notebooks TravelMate B TMB117-M-C0DK Intel Celeron N3050 (1.60 GHz) 4 GB Memory 32 GB eMMC SSD Intel HD Graphics 11.6" Windows 10 Pro 64-Bit,$199.99,$5.99 Shipping
ASUS,ASUS Zenbook UX303UA-DH51T Ultrabook Intel Core i5 6200U (2.30 GHz) 8 GB Memory 256 GB SSD Intel HD Graphics 520 13.3" IPS Full HD 1920 x 1080 Touchscreen 1.2 MP HD Camera Windows 10 Home 64-Bit,$899.0,$6.51 Shipping
HP,HP Laptop 250 G6 (2NC71UT#ABA) Intel Core i5 7th Gen 7200U (2.50 GHz) 8 GB Memory 128 GB SSD Intel HD Graphics 620 15.6" Windows 10 Pro 64-Bit,$599.99,Free Shipping
HP,HP Chromebook 11 G5 (X9U02UT#ABA) Intel Celeron N3050 (1.60 GHz) 4 GB Memory 16 GB Flash Storage Intel HD Graphics 11.6" Chrome OS,$179.0,Free Shipping
TOSHIBA,TOSHIBA Laptop Tecra A50-01R01S Intel Core i7 7th Gen 7500U (2.70 GHz) 4 GB Memory 1 TB HDD Intel HD Graphics 620 15.6" Windows 10 Pro 64-Bit,$619.99,$8.99 Shipping
ASUS,ASUS Laptop X556UQ-NH71 Intel Core i7 7th Gen 7500U (2.70 GHz) 8 GB Memory 512 GB SSD NVIDIA GeForce 940MX 15.6" Windows 10 Home 64-Bit,$819.99,Free Shipping
Acer,Acer Laptop Aspire E5-774G-52W1 Intel Core i5 7th Gen 7200U (2.50 GHz) 8 GB DDR4 Memory 256 GB SSD NVIDIA GeForce 940MX 17.3" Windows 10 Home 64-Bit,$629.99,$2.99 Shipping
Acer,Acer Laptop Aspire E5-575G-728Q Intel Core i7 7th Gen 7500U (2.70 GHz) 8 GB DDR4 Memory 1 TB HDD 256 GB SSD NVIDIA GeForce 940MX 15.6" Windows 10 Home 64-Bit,$759.99,$2.99 Shipping
ASUS,ASUS Laptop X556UQ-NH51 Intel Core i5 7th Gen 7200U (2.50 GHz) 8 GB Memory 512 GB SSD NVIDIA GeForce 940MX 15.6" Windows 10 Home 64-Bit,$729.99,$2.99 Shipping
Lenovo,Lenovo ThinkPad E570 (20H5-P1) 15.6" 16:9 Notebook - 1366 x 768 - Intel Core i5 (7th Gen) i5-7200U Dual-core (2 Core) 2.50 GHz - 16 GB DDR4 SDRAM - 525 GB SSD - Windows 10 Pro 64-bit,$99.0,Free Shipping
Acer,Acer Laptop Aspire A515-51G-5536 Intel Core i5 7th Gen 7200U (2.50 GHz) 8 GB DDR4 Memory 1 TB HDD NVIDIA GeForce 940MX 15.6" Windows 10 Home 64-Bit,$599.99,$2.99 Shipping
Lenovo,Lenovo Laptop IdeaPad 310 (80ST001NUS) AMD A12-Series A12-9700P (2.50 GHz) 12 GB Memory 1 TB HDD AMD Radeon R5 Series 15.6" Windows 10 Home,$459.99,$11.99 Shipping
Lenovo,Lenovo Laptop IdeaPad 310 15 (80TV00W1US) Intel Core i7 7th Gen 7500U (2.70 GHz) 12 GB Memory 1 TB HDD Intel HD Graphics 620 15.6" Windows 10 Home 64-Bit,$599.99,$6.51 Shipping
HP,HP Laptop Stream 11 Pro G3 (X9V65UT#ABA) Intel Celeron N3060 (1.60 GHz) 2 GB Memory 64 GB eMMC Intel HD Graphics 400 11.6" Windows 10 Pro 64-Bit,$194.99,$4.99 Shipping
Lenovo,Lenovo IdeaPad Laptop 320-15IKB 80XL0006US Intel Core i5 7200U (2.50 GHz) 8 GB Memory 1 TB HDD 15.6" Windows 10 Home,$509.0,$2.99 Shipping
HP,HP Laptop Pavilion 15-au057cl Intel Core i5 6th Gen 6200U (2.30 GHz) 8 GB Memory 1 TB HDD Intel HD Graphics 520 15.6" Touchscreen Windows 10 Home 64-Bit,$499.99,$4.99 Shipping
ASUS,ASUS VivoBook S510 15.6" Full HD Thin and Portable Laptop| Intel Core i7-7500U 2.7 GHz Processor| NVIDIA GeForce 940MX 2 GB| 8 GB DDR4 RAM| 256 GB M.2 SSD + 1 TB 5400 RPM HDD| Windows 10 Home,$849.0,Free Shipping
ASUS,ASUS Zenbook UX303UB-DH74T Ultrabook Intel Core i7 6500U (2.50 GHz) 12 GB Memory 512 GB SSD NVIDIA GeForce 940M 2 GB 13.3" IPS Quad HD+ 3200 x 1800 Touchscreen 1.2 MP HD Camera Windows 10 Home 64-Bit,$199.0,Free Shipping
ASUS,ASUS VivoBook S510UA-DB71 15.6" Full HD Laptop| 7th Gen Intel Core i7 Processor 2.7 GHz| 8 GB DDR4 RAM| 128 GB M.2 SSD + 1 TB HDD| Windows 10| Fingerprint Reader| Thin and Light| Backlit Keyboard,$793.99,Free Shipping
ASUS,ASUS F556UA-AB54-BL 15.6" FHD| Thin and Light Laptop| Intel Core i5| 8 GB DDR4 RAM| 256 GB SSD| Windows 10 (Blue),$629.0,Free Shipping
